title,authors,summaries,page
Magyarhon szépségei; A legvitézebb huszár,"Jókai, Mór","""Magyarhon szépségei; A legvitézebb huszár"" by Mór Jókai is a novel written in the late 19th century. The book intertwines a poetic appreciation for the beauty of Hungary with historical elements, focusing particularly on regions like Balaton and its surroundings. It reflects on the landscape and culture, possibly including the adventures of its main character, likely a representative figure of Hungarian nobility or patriotic sentiments.  At the start of the novel, the narrator expresses deep admiration for the beauty of the Balaton region, likening it to a charming bride revealing her delights. The text paints vivid pictures of the landscapes traversed, comparing the flat plains to an unadorned mother and the mountains of Transylvania to a proud fairy. The narrator recounts historical anecdotes related to local landmarks, such as ancient castles and battles against the Ottoman Turks, blending folklore with observations of nature. Overall, the opening establishes a nostalgic and romantic view of Hungary's cultural and historical significance, while engaging with the social and environmental issues of the time. (This is an automatically generated summary.)",2
Bálványos-vár: Történeti regény,"Jókai, Mór","""Bálványos-vár: Történeti regény"" by Mór Jókai is a historical novel written in the late 19th century. The narrative likely explores themes of freedom and cultural identity through the lens of the Székely people, focusing on their relationship with neighboring kun tribes during a time of political and social change in Hungary. It introduces readers to significant characters such as Mike Sára, a strong-willed Székely woman, and Kuthen, a kun leader, as they encounter challenges related to leadership, tradition, and the evolving social landscape.  The opening of the novel sets a rich historical context, beginning with a description of the Székely nation’s long-standing autonomy and their unique customs, including their roles as fierce protectors of their territory. It vividly describes the imposing Fergetyűvár, a rotating fortress signaling messages through its windows, showing the military ingenuity of the Székelys. As the narrative unfolds, tensions arise with the arrival of kun tribes seeking passage through Székely lands. Mike Sára emerges as a pivotal character, negotiating a peace treaty with Kuthen while asserting her people's rights and identity. The complexities of their interactions hint at themes of camaraderie, strife, and the struggle for cultural preservation amidst external pressures. (This is an automatically generated summary.)",2
A Pál-utcai fiúk: Regény kis diákok számára,"Molnár, Ferenc","""A Pál-utcai fiúk: Regény kis diákok számára"" by Ferenc Molnár is a novel first published in 1906. Set in Budapest in March 1889, it follows two rival gangs of schoolboys—the Pál Street Boys and the Red-Shirts—battling for control of their beloved playground, the ""grund."" At the center stands Nemecsek Ernő, a small, blond boy often underestimated by his peers, whose courage and loyalty will determine the outcome. This tale of childhood honor, betrayal, and sacrifice has become Hungary's most internationally celebrated novel. (This is an automatically generated summary.)",2
A láthatatlan ember: Regény,"Gárdonyi, Géza","""A láthatatlan ember: Regény"" by Géza Gárdonyi is a novel published in 1902. Set in the 5th century, it follows Zéta, a Greek slave who travels with his master to Attila the Hun's city along the Tisza River. When Zéta glimpses a Hun maiden named Emőke, he falls desperately in love and voluntarily becomes her father's servant to stay near her. Through battles, plagues, and Attila's death, Zéta's journey becomes one of adventure, devotion, and ultimately unexpected transformation in a world of empires and warfare. (This is an automatically generated summary.)",2
Régi magyar élet,"Móricz, Pál","""Régi magyar élet"" by Pál Móricz is a historical account written in the late 19th century. The narrative revolves around the life of Darvay Dániel, a nobleman born in 1798, detailing his experiences and relationships during turbulent times in Hungarian history, particularly against the backdrop of Napoleonic wars and personal romances. The book provides insights into the societal and cultural dynamics of Hungary during this period.  The opening of the narrative introduces Captain Darvay, born into a wealthy family, educated at home, and then at a notable institution in Debrecen. Despite his academic opportunities, he seems disinterested in scholarly pursuits, instead drawn to the adventurous life of a soldier as reflected in his decision to join the military at a young age. His aspirations lead him to Vienna, where he attempts to enlist in the prestigious Hungarian Guard but faces challenges due to his height. The character's desire for the soldier's life, coupled with personal tribulations regarding his parents' loss, sets the stage for the exploration of his passions, especially his romantic entanglements in Milan, where he spends a significant part of his military career. (This is an automatically generated summary.)",2
A Noszty fiu esete Tóth Marival (2. kötet),"Mikszáth, Kálmán","""A Noszty fiú esete Tóth Marival (2. kötet)"" by Kálmán Mikszáth is a novel written in the early 20th century. The story takes place in a rural Hungarian setting and seems to revolve around the social dynamics and romantic entanglements of its characters. The central figures include Noszty, a young man, and Tóth Mari, who is caught up in the intricacies of love and societal expectations, which likely leads to humorous and poignant situations throughout the narrative.  The opening of the novel introduces a lively gathering at a vineyard, filled with familiar characters engaging in light-hearted banter. We see the Velkovics family and their acquaintances preparing for the grape harvest, which sets the stage for unfolding relationships and tensions. Tóth Mari is depicted as being particularly affected by recent events, hinting at deeper emotional developments as the vineyard festivities progress. There is suspicion and intrigue surrounding her interactions, especially with the rumored presence of a brigand known as Patkó, which adds a layer of suspense to the social atmosphere. As the characters navigate their relationships and miscommunications, the opening suggests a blend of comedy, drama, and romance in their stories. (This is an automatically generated summary.)",2
A janicsárok végnapjai; A fehér rózsa,"Jókai, Mór","""A janicsárok végnapjai; A fehér rózsa"" by Mór Jókai is a romantic historical novel published in 1854. Set in the early 19th century Ottoman Empire, the story follows the downfall of Ali Tepelenti, the powerful Albanian pasha of Janina, who defies Sultan Mahmud II. As prophecies unfold and betrayals multiply, Ali's rebellion intersects with a broader crisis threatening the empire from all sides. The narrative culminates in 1826 with the Sultan's bloody suppression of the janissaries, marking the violent end of an era. (This is an automatically generated summary.)",2
Szent Péter esernyője,"Mikszáth, Kálmán","""Szent Péter esernyője"" by Kálmán Mikszáth is a novel published in 1895. When a mysterious red umbrella appears over an orphaned infant during a rainstorm, villagers declare it a miracle from Saint Peter himself. The relic brings fortune to the girl's guardian, but years later, a lawyer arrives searching for the same umbrella—believing it contains the key to his father's hidden inheritance. As their paths intertwine, secrets of love, deception, and destiny unfold across the Hungarian highlands. (This is an automatically generated summary.)",2
Az egri csillagok (I. kötet) : $b Bornemissza Gergely élete,"Gárdonyi, Géza","""Az egri csillagok (I. kötet): Bornemissza Gergely élete"" by Géza Gárdonyi is a historical novel published in 1901. Set during the Ottoman occupation of 16th-century Hungary, it follows young Bornemissza Gergely and Cecey Éva from childhood through the legendary siege of Eger in 1552. After being kidnapped by Turkish raiders as children, their lives intertwine through adventure, captivity, and romance, culminating in the heroic defense of Eger fortress where a small Hungarian garrison faces an overwhelming Ottoman army in a battle that would help define Europe's borders for generations. (This is an automatically generated summary.)",2
Álomvilág: Elbeszélések,"Ambrus, Zoltán","""Álomvilág: Elbeszélések"" by Zoltán Ambrus is a collection of short stories written in the early 20th century. The book explores themes of dreams, adventure, and mystical encounters through the experiences of its young protagonist. The narrative blends elements of fantasy and reality, rich in imagery and emotional depth.  The opening of ""Álomvilág"" introduces the reader to a young boy who escapes from the confines of a large blue room, symbolizing the limitations of his everyday life. As he ventures into a dreamlike landscape, he encounters enchanting elements such as a shimmering river and a mysterious girl named Pókháló, who embodies a fairy-like persona. She offers him a life of happiness away from home but warns that he can never return. The story sets the tone for the rest of the collection, hinting at the interplay between desire and consequence in the realm of dreams and imagination. (This is an automatically generated summary.)",2
Emlékezések,"Eötvös, Károly","""Emlékezések"" by Károly Eötvös is a collection of memoirs written in the late 19th century. This work reflects the author's observations and feelings about three generations he has witnessed, examining the social and cultural lives of Hungarian society during pivotal historical moments, particularly around the 1848 revolution. It offers insights into the lives of common people, their struggles, and the intricacies of their daily lives.  At the start of the memoirs, the author discusses his lack of formal diary-keeping but expresses the intention to document the significant experiences and characters he has encountered throughout his life. He reflects on his family's modest background and stresses the value of recounting the lives of ordinary people, particularly focusing on a character named Szombati, a ""házatlan zsöllér,"" or landless peasant. Through vivid descriptions of Szombati's makeshift home and trade skills, Eötvös paints a picture of the socio-economic conditions of the period while highlighting the resilience and resourcefulness of those living in modest circumstances. The opening sets the tone for a rich exploration of personal and collective memory, offering a glimpse into the historical context and cultural fabric of Hungary in that era. (This is an automatically generated summary.)",2
Édes anyaföldem! : Egy nép s egy ember története (2. kötet),"Benedek, Elek","""Édes anyaföldem! : Egy nép s egy ember története (2. kötet)"" by Elek Benedek is a literary work focusing on Hungarian history and culture, likely written in the early 20th century. The narrative explores themes of identity, belonging, and the deep connection one has with their homeland, particularly through the eyes of the protagonist, who seems to undergo a journey both physically and emotionally.   At the start of the narrative, the protagonist, referred to as the ""prodigal son,"" reflects on his past struggles and a newfound appreciation for life as he travels towards Pest, filled with hope and dreams. This journey coincides with the joyful celebration of Easter, symbolizing a personal resurrection and renewed purpose. He encounters old friends and contemplates his relationship with writing and literature, expressing a desire to honor his father's legacy through his work. The opening portrays a vivid tapestry of his memories and aspirations, alongside his observations of the Hungarian landscape, setting the tone for themes of heritage and the importance of roots in subsequent chapters. (This is an automatically generated summary.)",2
Gaal György magyar népmese-gyűjteménye (3. kötet),"Gaal, György","""Gaal György magyar népmese-gyűjteménye (3. kötet)"" by György Gaal is a collection of Hungarian folktales published in the mid-19th century. This volume serves as the third part of a series that seeks to preserve and present traditional Hungarian stories, reflecting the culture and values of the time. The work is likely characterized by its rich narrative style and moral lessons, typical of folk literature.  The opening of this collection features a brief introduction by the publishers and outlines the various tales included in the volume. It highlights the importance of preserving national stories and introduces a few specific folktales, each beginning with colorful and imaginative premises, such as encounters with magical beings and princes embarking on adventurous quests. The stories promise to be filled with themes of courage, cleverness, and the struggles between good and evil, inviting readers into the enchanting world of Hungarian folklore. (This is an automatically generated summary.)",2
"Szabadság a hó alatt, vagy: A zöld könyv: Történelmi regény","Jókai, Mór","""Szabadság a hó alatt, vagy: A zöld könyv"" by Mór Jókai is a historical novel written in the late 19th century. The narrative immerses readers in a tense atmosphere filled with intriguing characters, highlighting themes of freedom and conflict against a backdrop of snow-covered landscapes and military movements. The story seems to revolve around two main characters—one a noble warrior following a trail of blood and roses, and the other a man embarking on a journey for an undisclosed purpose, hinting at the intertwining paths their destinies may take.  The opening of the novel sets a stark scene in a snowy forest, where a group of Cossack cavalry is seen transporting a bound figure along the trail. This haunting image leads to a character who forages for blood drops that transform into roses against the white snow, suggesting underlying themes of sacrifice and beauty amid brutality. As the narration unfolds, it juxtaposes the solitary quest of another man seemingly searching for something deeper, creating an air of mystery concerning their upcoming encounter. The passage hints at a significant event or revelation waiting to occur as the paths of these characters converge, hinting at the exploration of freedom amidst oppression and the complex nature of their journeys. (This is an automatically generated summary.)",2
Görbe tükör,"Karinthy, Frigyes","""Görbe tükör"" by Frigyes Karinthy is a satirical work written in the early 20th century. This unique piece blends elements of literature, social commentary, and humor, using its diverse chapters to explore various aspects of society ranging from literary culture to scientific phenomena. The characters include notable figures and archetypes from literary history, as well as original creations woven into an elaborate narrative that reflects on the human condition.  The opening of the book presents a vibrant scene in a literary café in New York, where conversations about art, culture, and the nature of creativity unfold amidst a lively atmosphere. A character named Ádám, who represents a provincial editor, engages with Lucifer, a symbolic figure encompassing various philosophical ideas. Through their dialogue, they critique contemporary social dynamics and artistic pretensions, setting the stage for a broader exploration of life's absurdities and human follies that unfolds throughout the text. The tone is playful yet thought-provoking, inviting readers to delve deeper into Karinthy's insights on society and the literary world. (This is an automatically generated summary.)",2
Mikor a mécses már csak pislog: Elbeszélések,"Mikszáth, Kálmán","""Mikor a mécses már csak pislog: Elbeszélések"" by Kálmán Mikszáth is a collection of short stories written in the early 20th century. This work explores social themes and anecdotes centered around the lives of the Budai citizens, particularly focusing on the intimate space of local taverns, their patrons, and day-to-day experiences. The characters come to life through witty observations and a clear depiction of societal norms of the time.  The opening of the collection introduces the reader to the tavern called ""Fehér Páva,"" where the colorful interplay between regular patrons and newcomers unfolds. One of the central figures is an endearing young girl referred to as ""sipsirica,"" who is both charming and innocent. As the narrative reveals her interactions with the eccentric characters that frequent the ""Páva,"" it hints at underlying themes of family, social class, and the simple joys and conflicts of life in Budapest. The emerging dynamics include humorous exchanges and hints of romance, establishing a strong sense of community and vivid characterization right from the start. (This is an automatically generated summary.)",2
Nagy magyarok élete (2. kötet),"Benedek, Elek","""Nagy magyarok élete (2. kötet)"" by Elek Benedek is a biographical work published in the early 1900s. This volume presents the lives of three pivotal Hungarian figures: King Louis the Great, János Hunyadi, and King Matthias. Part of a multi-volume series dedicated to great Hungarians, it offers popular biographical accounts that bring these historical leaders to life. The book chronicles their achievements and contributions to Hungarian history through accessible storytelling. (This is an automatically generated summary.)",2
Deák Ferencz és családja (1. kötet),"Eötvös, Károly","""Deák Ferencz és családja (1. kötet)"" by Károly Eötvös is a biographical work written in the early 20th century. This volume focuses on the life and legacy of Deák Ferenc, a prominent Hungarian statesman, and delves into his character, family background, and the historical context that shaped his contributions to the nation. The author aims to preserve the memory of Deák not just as a statesman but also as an individual with rich personal connections and a significant familial heritage.  The opening of the book sets the stage for a detailed exploration of Deák Ferenc's early life, highlighting his lineage and the influence of his family on his development. Eötvös reflects on his own relationship with Deák, presenting them as both a mentor and a source of inspiration. The narrative begins with an account of Deák's birth, the circumstances surrounding it, and his family's historical roots, emphasizing the individual's connection to their ancestry. Eötvös presents Deák as a paragon of virtues, contrasting the narrative of the statesman's public achievements with his private life and familial ties, asserting that understanding the personal side is essential for appreciating his contributions to Hungary's history. (This is an automatically generated summary.)",2
Thury Zoltán összes művei (2. kötet): Emberhalál és egyéb elbeszélések,"Thury, Zoltán","""Thury Zoltán összes művei (2. kötet): Emberhalál és egyéb elbeszélések"" by Zoltán Thury is a collection of narratives written in the early 20th century. The work seems to explore the societal dynamics and struggles of rural life, with a focus on peasant communities facing the overreach of landowners and bureaucratic authority.   The opening of the collection presents a vivid scene in a rural setting where peasants are in conflict with a baron over access to timber in a forest. The narrative captures the tension as the baron enforces strict regulations on the peasants, who have historically gathered wood for their fires. As the situation escalates, the peasants’ frustrations lead them to revolt, chanting that the land and its resources belong to them. The story sets a serious and somber tone, highlighting themes of class struggle, the exploitation of the working class, and the impact of authority on everyday lives. (This is an automatically generated summary.)",2
Régi magyar vitézi énekek és elegyes dalok (1. kötet),"Thaly, Kálmán","""Régi magyar vitézi énekek és elegyes dalok (1. kötet)"" by Kálmán Thaly is a collection of historical poems and songs compiled during the mid-19th century. This volume focuses on gathering original manuscripts and previously dispersed printed works from the 16th, 17th, and 18th centuries, showcasing Hungary's rich poetic heritage. The collection emphasizes themes of heroism, national identity, and cultural expression through traditional Hungarian verses, which celebrate the valiant past of the nation and its integral history.  The opening of this compilation reveals Thaly's deep commitment to preserving the Hungarian poetic tradition, which he believes has been diminished over time. He expresses his admiration for the lyrical nature of the Hungarian people, illustrating how songs have documented their experiences of longing, loss, and valor throughout history. Thaly explains the challenges of gathering these songs, reminiscing about the wealth of lost works that reflect Hungary's distinct culture. Through this meticulous archival effort, Thaly aims to enrich the current landscape of Hungarian literature with these expressive, historical pieces. (This is an automatically generated summary.)",2
Egy haditudósító emlékei : $b 1914 november - 1915 november,"Molnár, Ferenc","""Egy haditudósító emlékei: 1914 november - 1915 november"" by Ferenc Molnár is a historical account written in the early 20th century. The narrative chronicles the experiences of a war correspondent during World War I, capturing the tumultuous atmosphere of the time along with personal observations from the front lines. The book not only documents the events of the war but also delves into the emotions and struggles faced by those involved.  The opening of this work sets the scene in Budapest during a hot summer's day, leading into an unexpected tension as rumors of impending war swirl around the characters. The narrator provides vivid descriptions of the oppressive heat, the mundane chatter of café patrons, and the palpable sense of anticipation in the air. As news of the crisis unfolds, the protagonist reflects on the dramatic shift from a peaceful life to the reality of conflict, painting a picture of the chaotic yet deeply human experiences during this troubling time. The narrative style blends sensory details with a philosophical awareness, hinting at the transformation the war will bring to society and personal lives alike. (This is an automatically generated summary.)",2
Andor: Regény,"Molnár, Ferenc","""Andor: Regény"" by Ferenc Molnár is a novel written in the early 20th century. The story seems to follow the character Andor, a young man navigating his responsibilities and relationships in Budapest, particularly in the context of significant changes in his life, the loss of his parents, and the complexities of young love.   The opening of the novel sets a somber and reflective tone as it introduces Andor during the early hours of dawn, crossing the Margit Bridge from Pest to Buda. Alone and tired, he contemplates the tranquility around him while grappling with his loneliness in the wake of his mother's death and his father's declining health. The narrative then shifts to Andor's home, where he reflects on his past, his relationships, particularly with Turnovszky Ella, and his impending move to a new apartment. As he prepares to leave his childhood home, the emotional weight of farewell looms large, underscored by memories of love, family tension, and the anxiety of stepping into adulthood. With layers of introspection and developing character dynamics, the beginning lays a strong foundation for the narrative's exploration of personal growth and the inevitabilities of life. (This is an automatically generated summary.)",2
Hétfalusi csángó népmesék; Magyar népköltési gyüjtemény 10. kötet,,"""Hétfalusi csángó népmesék; Magyar népköltési gyüjtemény 10. kötet"" by Antal Horger is a collection of folk tales written in the early 20th century. The work focuses on the rich tradition of storytelling among the Hétfalusi Csángós, a Hungarian minority group residing in Romania. This volume aims to preserve their cultural heritage through captivating narratives filled with elements of magic, morality, and the struggles of the human condition.  The beginning of the collection introduces the context of the tales and the environment from which they originate. It includes a foreword that explains the significance of collecting these stories, emphasizing the ongoing importance of folk traditions. Following this, an introduction provides background information on the Hétfalusi Csángós, detailing their unique history and cultural traits. The stories commence with a tale about a king, his enchanted bird that lays golden eggs, and his sons who navigate family intrigue and danger, setting the tone for the magical and adventurous narratives to follow. This initial narrative hints at themes of betrayal, loyalty, and courage, engaging the reader to delve deeper into the collection. (This is an automatically generated summary.)",2
Magyar alakok,"Eötvös, Károly","""Magyar alakok"" by Károly Eötvös is a collection of narratives likely written in the late 19th century. The work appears to delve into the lives and characters of notable Hungarian figures, intertwining history with personal tales, exploring themes of love, societal roles, and the rich tapestry of Hungarian culture and politics.  The opening of the book introduces Gróf Széchenyi István, a prominent figure, through a vivid description of a portrait that hung over his desk. This painting of a beautiful young woman captivates both Széchenyi and his visitors, igniting speculation about its origins. As the narrative unfolds, it reveals Széchenyi's life journey, marked by a pivotal moment during his travels in Greece, where he is inspired to dedicate himself to the reconstruction and advancement of Hungary. Alongside this backdrop, the text introduces a supporting character, the enchanting Mariska, whose relationship with Széchenyi serves as a significant thread, hinting at deep emotional connections amid the shifting fortunes of their lives. (This is an automatically generated summary.)",3
Régi magyar vitézi énekek és elegyes dalok (2. kötet),"Thaly, Kálmán","""Régi magyar vitézi énekek és elegyes dalok (2. kötet)"" by Kálmán Thaly is a collection of historical songs and poems compiled from original manuscripts and scattered printed materials from the 16th, 17th, and 18th centuries. This work likely reflects the cultural and social themes of early modern Hungary, exploring the lives of its people, their valor, love, and communal experiences.   The opening of this collection introduces various folk songs that portray the daily lives, customs, and emotions of Hungarian people through witty and poignant lyrics. It touches on themes such as love, social commentary on the customs of different regions, and the humorous depiction of rural life, showcasing characters like the clever peasant and the lovesick young man. Each piece reflects a rich tapestry of Hungarian tradition and sentiment, inviting readers to appreciate the cultural heritage embedded in these verses. (This is an automatically generated summary.)",3
Vörösmarty életrajza,"Gyulai, Pál","""Vörösmarty életrajza"" by Pál Gyulai is a biographical account written in the late 19th century. The book primarily focuses on the life and formative years of Mihály Vörösmarty, a prominent Hungarian poet, exploring his background, family life, and early education. It delves into the influences that shaped him into a significant literary figure, highlighting the personal and socio-political contexts of his upbringing.  The opening of the book introduces Mihály Vörösmarty, detailing his birth in 1800 and his family's socio-economic status. His father, also named Mihály, is portrayed as a noble yet humble man, dedicated to his family and community. The narrative describes Vörösmarty's early childhood, his education, and the specific characteristics that foreshadow his future poetic talent. The text emphasizes his sensitivity and imagination, suggesting that these qualities emerged early in his life through his interactions with both family and nature, setting the stage for his literary endeavors later on. (This is an automatically generated summary.)",3
A pénz legendája; Gányó Julcsa,"Justh, Zsigmond","""A pénz legendája; Gányó Julcsa"" by Zsigmond Justh is a novel likely written in the late 19th century. The story introduces Belényesy Mária grófnő, whose social status and familial expectations heavily influence her pursuit of love and financial security. The narrative unfolds amidst the backdrop of Hungarian aristocracy, exploring themes of wealth, marriage, and societal norms.  The opening of the novel sets the stage for Mária's internal conflict and her relationships with her family. She reflects on her mother's financial counsel regarding her potential suitor, Bálványosy Sándor, a man of considerable wealth. As Mária navigates the world of high society, she grapples with her feelings toward Sándor, balancing her mother's ambitions with her desire for genuine emotion. The passage reveals her sarcastic and observant nature, juxtaposing lavish social gatherings with her insecurities about love and identity, hinting at a deeper philosophical exploration of the interplay between money and personal happiness. (This is an automatically generated summary.)",3
A magyar népköltés gyöngyei: A legszebb népdalok gyüjteménye,"Benedek, Elek","""A magyar népköltés gyöngyei: A legszebb népdalok gyüjteménye"" by Elek Benedek is a collection of Hungarian folk songs written in the late 19th century. This work gathers some of the most beautiful and significant pieces of Hungarian folk poetry, aiming to present the rich cultural heritage of the Hungarian people to a broader audience. The author’s goal is to make these folk gems accessible and appreciated, especially for those who may not be well-versed in their origins or artistry.  The opening portion introduces the author's intentions and rationale for compiling this collection. Elek Benedek expresses concern over the limited recognition of Hungarian folk poetry among educated individuals and the general public, despite its richness. He explains how he carefully selected songs showcasing true poetic value, which evoke strong emotions and connections to the reader. The author specifically notes the significance of themes like love and longing throughout the songs, illustrating the emotional landscape these works traverse. In addition, he highlights the inclusion of various modified versions of the songs, ensuring that readers receive the most powerful iterations of these folk treasures. (This is an automatically generated summary.)",3
A lőcsei fehér asszony (I. rész): Regény,"Jókai, Mór","""A lőcsei fehér asszony (I. rész)"" by Mór Jókai is a novel written in the late 19th century. The story unfolds in Lőcse, a city in Hungary, exploring themes of tradition, history, and the conflicting nature of a striking female character, Ghéczy Juliánna, also known as the ""white lady."" The narrative is steeped in Hungarian folklore and reflects on national identity, betrayal, and the female influence in historical events.  The opening of the book introduces Lőcse, emphasizing its rich history and imposing walls that have withstood numerous assaults. The reader is introduced to various descriptions of mysterious and poignant paintings of a woman in white, symbolizing duality in her character—betrayer and national martyr. As rumors and folklore surrounding her life circulate within the town, the text hints at a complex interplay of loyalty and treachery that her character embodies, setting the stage for a deeper exploration of identity and historical legacy as the story progresses. (This is an automatically generated summary.)",3
Hazai rejtelmek: Regény (2. kötet),"Kuthy, Lajos","""Hazai rejtelmek: Regény (2. kötet)"" by Lajos Kuthy is a novel published in 1846–1847. Inspired by Eugène Sue's ""The Mysteries of Paris,"" this Hungarian romantic crime story follows two families—one virtuous, one corrupt—in Pest and the Hungarian plains. Young Ödön Szalárdy suffers persecution from his ambitious uncle, who seeks to destroy him and steal his inheritance through conspiracy and violence. The tale weaves murder, false imprisonment, and dark secrets with vivid descriptions of the Hungarian landscape and folk life, ultimately leading to justice and redemption. (This is an automatically generated summary.)",3
"Leányok, asszonyok","Ambrus, Zoltán","""Leányok, asszonyok"" by Zoltán Ambrus is a collection of stories written in the early 20th century. The book explores themes of youth, femininity, and societal expectations through the lens of young female characters, particularly focusing on their interactions, struggles, and the complexities of their emotions within their environments.   At the start of the narrative, the scene unfolds in a classroom setting where the music teacher addresses her students regarding a lost diamond ring belonging to a girl named Kamilla. There is a palpable tension as the entire class becomes involved in the search for the missing ring, leading to accusations and emotional responses. The dynamics within the classroom reveal the personalities of the girls, showcasing a range of reactions from fear and shame to defiance, with a particular spotlight on Juliska, who appears anxious and distressed. As the search intensifies and the atmosphere becomes charged, the introductory chapter sets the foundation for exploring deeper issues of trust, social hierarchies, and the personal dilemmas faced by these young girls. (This is an automatically generated summary.)",3
Új versek,"Ady, Endre","""Új versek"" by Endre Ady is a collection of poetry written in the early 20th century. This work reflects Ady's exploration of love, longing, and existential themes, featuring a recurring character named Léda, who symbolizes both muse and lover throughout the verses.  At the start of ""Új versek,"" the author presents a series of poems that delve into the intense emotions surrounding love and loss, as well as the triumphs and struggles of life. The opening lines introduce Léda, emphasizing the depth of their relationship and the complexities that arise from passion. Ady utilizes vivid imagery and lyrical language to convey feelings of yearning, a struggle with identity, and socio-political undercurrents that define the era. The poems weave together personal anguish with broader themes of national identity and the search for meaning, setting the tone for a profound exploration of human experience in the poet's signature poignant style. (This is an automatically generated summary.)",3
A leányvári boszorkány: Regény,"Lovik, Károly","""A leányvári boszorkány: Regény"" by Károly Lovik is a novel written in the early 20th century. The story appears to center around the life of Judex Mátyás, a nobleman and pawnbroker in the town of Selmecbánya, who is grappling with the challenges of raising his two daughters, Helén and Málika, amidst societal expectations and personal aspirations. As peculiar circumstances unfold—including an unusual incident involving a horse pawn—it is evident that the novel weaves themes of love, family dynamics, and local customs into its narrative.  At the start of the novel, we are introduced to Judex Mátyás as he interacts with a young academic named Hertelendi Tamás, who unexpectedly arrives at his pawnbroker's establishment with a horse. Judex initially resists the idea of a horse being pawned, but is quickly drawn into a humorous conversation where his character and the dynamic of the pawnbroking business are explored. We learn about Judex's two daughters—Helén, who is gentle and dreamy, and Málika, the clever and spirited one, nicknamed the ""leányvári boszorkány"" or ""the witch of Leányvár."" The opening effectively sets the tone for a tale that balances whimsical scenarios with deeper themes of familial responsibility and the societal expectations of women, building anticipation for how these characters will navigate their predicaments. (This is an automatically generated summary.)",3
Gróf Gvadányi József és Fazekas Mihály (Magyar remekirók 6. kötet),"Gvadányi, József, gróf, Fazekas, Mihály","""Gróf Gvadányi József és Fazekas Mihály"" is a literary collection written in the early 20th century. This volume belongs to a series that explores significant works in Hungarian literature, focusing specifically on the lives and contributions of Gvadányi and Fazekas. The book likely delves into the historical and cultural context of their works, along with discussions of their impact on Hungarian literature and society.  The beginning of this collection offers insight into Gróf Gvadányi József, illustrating his prominent role in the 18th century as both a soldier and a poet. The text highlights Gvadányi's military background, detailing his experiences in various wars and his eventual transition into writing. His journey from a soldier to a respected literary figure is contextualized within the socio-political landscape of Hungary during his lifetime. The opening also hints at Gvadányi's deep connection to Hungarian culture and identity, suggesting that the subsequent chapters will explore his literary legacy and how it reflects the connections between nationalism and the arts in Hungary. (This is an automatically generated summary.)",3
Thury Zoltán összes művei (1. kötet): Ketty és egyéb elbeszélések,"Thury, Zoltán","""Thury Zoltán összes művei (1. kötet)"" by Zoltán Thury is a collection of stories likely written in the early 20th century. The compilation includes various narratives that explore different aspects of life, highlighting themes such as social issues, personal struggles, and interpersonal relationships. The stories likely reflect the societal dynamics and challenges of the time, as seen through the eyes of everyday characters.  At the start of the collection, the opening story introduces us to Huber, a new landlord of a rundown apartment building who is focused on collecting rent from his tenants. As he interacts with the landlady, we learn about the struggles of the building’s residents, particularly a poor painter who faces eviction due to unpaid rent. The painter is depicted as a sensitive individual caught in a cycle of financial distress and desperation, expressing thoughts of self-harm. In parallel, a young girl named Ketty, the landlord's daughter, expresses a desire to have her portrait painted, providing a glimpse of hope amid the melancholy. The beginning effectively sets the stage for a deeper exploration of the characters' lives and the societal circumstances surrounding them in the following stories. (This is an automatically generated summary.)",3
A vörös postakocsi: Regény,"Krúdy, Gyula","""A vörös postakocsi: Regény"" by Gyula Krúdy is a novel written in the early 20th century. The story likely explores themes of urban life, love, and societal commentary through a rich tapestry of characters navigating the complexities of Budapest, particularly focusing on two women, Klára and Szilvia, who are actresses with ambitions and personal struggles.  The opening of the novel introduces the reader to the world of two actresses, Klára and Szilvia, who recently moved into a modest apartment in a historic area of Pest. The narrative is filled with detailed descriptions of their surroundings and a lively portrayal of their emotions and thoughts. As they settle into city life, they grapple with their aspirations, societal expectations, and the dynamics of love and friendship. The dialogue reveals their perspectives on relationships, societal norms, and the challenges of being women in a transient, often harsh urban landscape. The tone combines humor and melancholy, setting the stage for the interplay of their dreams and reality that will unfold throughout the story. (This is an automatically generated summary.)",3
Elbeszélések és tárcák,"Rákosi, Viktor","""Elbeszélések és tárcák"" by Viktor Rákosi is a collection of stories and essays written in the early 20th century. The book presents a variety of narratives that explore different aspects of life, culture, and human emotions, often depicting characters in relatable or humorous situations. This collection provides a glimpse into societal dynamics and personal experiences of that era.  The opening portion introduces readers to a cafe scene on a dreary, rain-soaked October evening, where the patrons and musicians appear to be feeling the effects of the weather. A notable character is Bresztler, the overweight and stern owner, who interacts with the arriving performers, showcasing his authority and the atmosphere of the establishment. Tension builds as the young musician, Bencze-lány, struggles with her responsibilities amid concerns for her sick mother, contrasting her aspirations with the harsh realities of her life. This opening effectively sets the tone for the themes of struggle, ambition, and societal expectations that likely permeate the stories within the collection. (This is an automatically generated summary.)",3
